,main_rubric,rubric,title,text
2246,Происшествия,Происшествия,Военкор Котенок сообщил о двух сериях взрывов с интервалом в полтора часа в Харькове,В Харькове в четверг прогремели две серии взрывов с интервалом в полтора часа.
2247,Происшествия,Происшествия,Военкор Котенок сообщил о двух сериях взрывов с интервалом в полтора часа в Харькове,"В Харькове произошли две серии взрывов, сообщил военный корреспондент Юрий Котенок в Telegram."
2248,Происшествия,Происшествия,Чиновников подозревают в незаконном строительстве рядом с музеем Ленина,"Уголовное дело возбуждено в отношении высокопоставленных чиновников правительства Московской области по подозрению в согласовании незаконного строительства рядом с музеем Ленина, 15 ноября сообщило издание «Коммерсантъ»."
2249,Происшествия,Происшествия,За систематическое получение взяток арестовали подмосковных чиновников,"В ходе следствия были выведены несколько пунктов обвинения - в частности, коррупционные действия и незаконное согласование строительства в посёлке Горки."
2250,Происшествия,Происшествия,За регулярное получение взяток арестованы подмосковные чиновники,Чиновники в Подмосковье арестованы за регулярное получение взяток.
2251,Происшествия,Происшествия,В Подмосковье арестовали группу чиновников по подозрению во взяточничестве,"По версии следователей, они выдавали разрешения на строительство нежилых объектов за вознаграждение."
2252,Происшествия,Происшествия,По обвинению во взяточничестве арестованы подмосковные чиновники,Под следствие попал глава аналитического отдела правления и два начальника управлений по Московской области.
2253,Происшествия,Происшествия,За систематическое получение взяток арестованы подмосковные чиновники,За систематическое получение взяток арестованы подмосковные чиновники
2254,Происшествия,Происшествия,Белгородское село попало под обстрел ВСУ,В четверг Вооруженные силы Украины вновь подвергли обстрелу Белгородскую область.
2255,Происшествия,Происшествия,Белгородский губернатор сообщил об обстреле села Старый Хутор со стороны Украины,"Под обстрел ВСУ попало село Старый Хутор Валуйского городского округа, сообщил губернатор Белгородской области Вячеслав Гладков."
2256,Происшествия,Происшествия,Белгородские власти сообщили об обстреле села Старый Хутор,"Губернатор Белгородской области Вячеслав Гладков заявил, что село Старый Хутор Валуйского городского округа попало под обстрел."
2257,Происшествия,Происшествия,В Белгородской области сообщили об обстреле села Старый Хутор,"Село Старый Хутор Валуйского городского округа Белгородской области попало под обстрел со стороны вооруженных сил Украины (ВСУ), сообщил губернатор региона Вячеслав Гладков в своем Telegram-канале.«Под обстрел попало село Старый Хутор Валуйского городского округа."
2258,Происшествия,Происшествия,Село в Белгородской области подверглось обстрелу,Глава Белгородской области Вячеслав Гладков сообщил в телеграм-канале об очередном обстреле региона.
